"year","shapeID","country","adm2","built_m2"
2022,"17698898B67359070524975","AFG","Deh Bala",874233.755697241
2022,"17698898B98443198567384","AFG","Gulran",412292.790784538
2022,"17698898B82675281335003","AFG","Koshk",778555.785340471
2022,"17698898B74585757664988","AFG","Chaparhar",5834284.55100738
2022,"17698898B84066352785355","AFG","Koshki Kohna",81808.0006095171
2022,"17698898B31168234973124","AFG","Pachier Agam",1144520.77634384
2022,"17698898B88962028797570","AFG","Kohsan",1146548.90504542
2022,"17698898B58246966451205","AFG","Khogayani",4631222.14959155
2022,"17698898B9118080572878","AFG","Shirzad",1424780.76422404
2022,"17698898B30811011988841","AFG","Ghoryan",1815922.84902034
2022,"17698898B26698492431192","AFG","Hesarak",877080.408110378
2022,"17698898B40667895693210","AFG","Zanda  Jan
",849109.453433385
2022,"17698898B91002428816885","AFG","Azra",165736.42537082
2022,"17698898B41376487693068","AFG","Guzara",4159235.95363241
2022,"17698898B76505255120202","AFG","Karukh",509353.763615056
2022,"17698898B14177024461677","AFG","Ali Khail (Jaji)",1255025.56362203
2022,"17698898B13869186183429","AFG","Dand Patan",1309189.26354699
2022,"17698898B48568225140824","AFG","Pashtun Zarghun",1127735.70096992
2022,"17698898B82499644290934","AFG","Chamkani",2216888.98081203
2022,"17698898B63154587164483","AFG","Laja Ahmad Khail",619968.170373726
2022,"17698898B66498358059232","AFG","Sayed Karam",771880.517187976
2022,"17698898B88187802806148","AFG","Ahmad Abad",1473519.02388761
2022,"17698898B82424005626981","AFG","Obe",791555.516121809
2022,"17698898B50071469520952","AFG","Jani Khail",166629.981409056
2022,"17698898B70680099642368","AFG","Farsi",2566.99994740449
2022,"17698898B10808081288517","AFG","Gardiz",10585005.0951314
2022,"17698898B98040886120926","AFG","Zurmat",4447669.04409617
2022,"17698898B63284847438017","AFG","Anar Dara",254945.68430152
2022,"17698898B57803424859740","AFG","Shawak",28304.2844394309
2022,"17698898B70788174101538","AFG","Qala Ka",182165.132188795
2022,"17698898B43056583417710","AFG","Khaki Safed",105904.402055724
2022,"17698898B23157226416647","AFG","Shindand",3707865.83712274
2022,"17698898B94993264286601","AFG","Zadran",403254.791465666
2022,"17698898B38396690303170","AFG","Jaji Maidan",1495400.18741009
2022,"17698898B23350919974293","AFG","Bak",1436052.78815569
2022,"17698898B4337459540017","AFG","Shib Koh",470437.448096895
2022,"17698898B69525481970606","AFG","Sabri",4279145.51180176
2022,"17698898B12487072568653","AFG","Lash Wa Juwayn",120846.159809774
2022,"17698898B13286214983571","AFG","Tere Zayi",3967199.38060446
2022,"17698898B71599149457148","AFG","Pusht Rod",398760.087433509
2022,"17698898B48544319080592","AFG","Mosa Khail",503127.938796268
2022,"17698898B12847742424468","AFG","Farah",7343251.31631371
2022,"17698898B50021728189298","AFG","Qalandar",89439.6128493256
2022,"17698898B60738219309416","AFG","Bala Buluk",687426.184634827
2022,"17698898B35159094518715","AFG","Nadir Shah Kot",1873298.56733199
2022,"17698898B61842936481586","AFG","Gulistan",47506.3889381494
2022,"17698898B7218373032226","AFG","Khost(Matun)",15954614.4118797
2022,"17698898B51729905625670","AFG","Gurbuz",2377633.55120985
2022,"17698898B41043106697334","AFG","Pur Chaman",59260.9786754139
2022,"17698898B31116405926030","AFG","Mando Zayi",5634468.53675404
2022,"17698898B67472405327916","AFG","Tani",3365898.64222415
2022,"17698898B50082095746100","AFG","Chahar Dara",3146865.7033176
2022,"17698898B63900733266218","AFG","Bakwa",73673.9656579988
2022,"17698898B16828551038730","AFG","Shamal",270056.995686699
2022,"17698898B60886536033067","AFG","Kunduz",12022805.2604706
2022,"17698898B16660327351788","AFG","Spira",477698.656324592
2022,"17698898B59041256807288","AFG","Guzargahi Nur",3439.80002322583
2022,"17698898B22210022467973","AFG","Mohammad Agha",335259.095364146
2022,"17698898B48695657788361","AFG","Khoshi",83494.7909020222
2022,"17698898B99069409178709","AFG","Farang Wa Gharu",20829.999151806
2022,"17698898B11646874618159","AFG","Puli Alam",1946368.52865314
2022,"17698898B6565197896692","AFG","Khost Wa Firing",135438.805273339
2022,"17698898B34606037215802","AFG","Baraki Barak",1978278.63714732
2022,"17698898B10942587519321","AFG","Puli Hisar",21072.8744551213
2022,"17698898B52143357969212","AFG","Charkh",611842.84563333
2022,"17698898B82701186075668","AFG","Kharwar",389177.196074238
2022,"17698898B87088675092373","AFG","Burka",1469381.55539868
2022,"17698898B97188555075093","AFG","Khas Kunar",1782173.68817107
2022,"17698898B50805537510816","AFG","Nurgal",700802.219513886
2022,"17698898B284678917294","AFG","Dih Salah",186622.014109784
2022,"17698898B13238252869015","AFG","Chawkay",1263315.97758911
2022,"17698898B633920692247","AFG","Khwaja Hijran (Jilga Nahrin)",8152.74902078533
2022,"17698898B49094759287106","AFG","Narang",1568119.58984208
2022,"17698898B66712247557735","AFG","Kang",33809.1825690647
2022,"17698898B32644110556911","AFG","Baghlani Jadid",5851227.83044268
2022,"17698898B43925637284130","AFG","Chapa Dara",596781.608030811
2022,"17698898B39156943056373","AFG","Zaranj",6390242.67221437
2022,"17698898B74946320403220","AFG","Asadabad",2086182.77114778
2022,"17698898B34012534665236","AFG","Puli Khumri",5526222.05607568
2022,"17698898B12728543796406","AFG","Sarkani",938214.373240655
2022,"17698898B34314103911118","AFG","Chahar Burjak",486968.949115396
2022,"17698898B22383427297645","AFG","Nahrin",1129513.9298242
2022,"17698898B77023916462062","AFG","Marawara",650914.63560431
2022,"17698898B69274941627579","AFG","Chakhansur",182997.575909685
2022,"17698898B69264511161666","AFG","Andarab",54957.7324500445
2022,"17698898B17409379319517","AFG","Khinjan",433340.387914024
2022,"17698898B95618579984997","AFG","Shaygal wa shital",871192.01760914
2022,"17698898B58844392220215","AFG","Khash Rod",699259.934370322
2022,"17698898B27904956690533","AFG","Dushi",941602.371423012
2022,"17698898B49910454876794","AFG","Dara-I-Pech",1123591.77635701
2022,"17698898B25309519003719","AFG","Dishu",188522.595786192
2022,"17698898B98707545256283","AFG","Dahana-I- Ghuri",751333.294405702
2022,"17698898B10413991082827","AFG","Wata Pur",567070.989332177
2022,"17698898B2508287101636","AFG","Reg(Khanshin)",168358.076236904
2022,"17698898B52947947135359","AFG","Tala Wa Barfak",26642.0461786585
2022,"17698898B27007301103583","AFG","Dangam",252033.281813942
2022,"17698898B34482796057231","AFG","Garmser",275311.433870724
2022,"17698898B82085678459106","AFG","Bar Kunar",244831.816918861
2022,"17698898B9822156796156","AFG","Paryan",1651.3200399857
2022,"17698898B23236612264479","AFG","Nawa-I- Barak Zayi",123005.985678786
2022,"17698898B49694139697201","AFG","Ghaziabad",243410.621880453
2022,"17698898B57544196063492","AFG","Khenj (Hese- Awal)",26440.0267401298
2022,"17698898B93501902948280","AFG","Nad Ali",680910.620508354
2022,"17698898B78521415915100","AFG","Nari",422169.430974964
2022,"17698898B70025799678944","AFG","Ziruk",127464.068290964
2022,"17698898B22352554505248","AFG","Nahri Sarraj",1866458.85760178
2022,"17698898B32986423945251","AFG","Bazarak",311444.41260003
2022,"17698898B167183806480","AFG","Lashkar Gah",6069606.53660779
2022,"17698898B76017578354726","AFG","Nika",35101.6923102148
2022,"17698898B71703822686681","AFG","Dara",139.988103321288
2022,"17698898B63216716382211","AFG","Sangin",464199.339844218
2022,"17698898B31718885342690","AFG","Gayan",169265.720433806
2022,"17698898B51750891516418","AFG","Rukha",190195.692966142
2022,"17698898B29414773205721","AFG","Kajaki",647670.19901627
2022,"17698898B81639948392076","AFG","Urgun",1961984.18990549
2022,"17698898B86893454332633","AFG","Unaba",293072.142216762
2022,"17698898B96274707297205","AFG","Naw Zad",188189.205793643
2022,"17698898B73657459588515","AFG","Sar Hawza",339201.018386039
2022,"17698898B27579571424346","AFG","Shutul",22084.6161508334
2022,"17698898B14674073600616","AFG","Musa Qala",845601.470383874
2022,"17698898B70029244120792","AFG","Mata Khan",261485.598059438
2022,"17698898B62190249131225","AFG","Alasay",387239.68025092
2022,"17698898B15919803433958","AFG","Sharan",1158572.41033864
2022,"17698898B34489246879191","AFG","Baghran",198336.977010746
2022,"17698898B88758953841617","AFG","Tagab",2071913.58185588
2022,"17698898B35828896947271","AFG","Barmal",1390242.16443677
2022,"17698898B86043618783876","AFG","Registan",48540.4989150353
2022,"17698898B39301080815863","AFG","Sarobi",475498.516758848
2022,"17698898B39893624636258","AFG","Mahmudi Raqi",458341.462664541
2022,"17698898B62386399242941","AFG","Shorabak",137114.693623331
2022,"17698898B71465249447941","AFG","Omna",57123.3925671136
2022,"17698898B3457791350599","AFG","Yosuf Khel",146384.449856669
2022,"17698898B90427677065575","AFG","Hisa-i-Duwumi Kohistan",436843.986335566
2022,"17698898B16178473007687","AFG","Spin Boldak",5444959.90196197
2022,"17698898B76739008753314","AFG","Yahya Khel",101281.582258445
2022,"17698898B22800261216411","AFG","Hisa-i-Awali Kohistan",574834.4430311
2022,"17698898B69048224790287","AFG","Arghistan",844130.633487821
2022,"17698898B30671190728626","AFG","Zarghun Shahr",543394.101861761
2022,"17698898B87789129076781","AFG","Panjwayi",497286.228887838
2022,"17698898B85596304948243","AFG","Salang",36820.3735056138
2022,"17698898B3536630965398","AFG","Kandahar",16414389.5553709
2022,"17698898B46371415071663","AFG","Jabalussaraj",625992.022239406
2022,"17698898B85546935814968","AFG","Jani Khel",423641.804070666
2022,"17698898B75395514710531","AFG","Daman",2269983.855258
2022,"17698898B96190613421572","AFG","Kohi Safi",9729.35859691978
2022,"17698898B75574585660656","AFG","Dila",167422.092631535
2022,"17698898B71321154096819","AFG","Shah Wali Kot",259157.064521072
2022,"17698898B79363414793444","AFG","Waza Khwa",714247.35127059
2022,"17698898B76580774118735","AFG","Bagram",3073965.38031773
2022,"17698898B88854070197950","AFG","Sayd Khel",296107.167881483
2022,"17698898B64879556076818","AFG","Arghandab",1161267.52056829
2022,"17698898B48845645829739","AFG","Gomal",522380.9158695
2022,"17698898B71155129152352","AFG","Maywand",226777.667755141
2022,"17698898B78020451669057","AFG","Chaharikar",3749681.61611936
2022,"17698898B45857053631158","AFG","Ghorak",43022.8564104834
2022,"17698898B92535545180031","AFG","Turwo",58230.6430848757
2022,"17698898B52761168478652","AFG","Shinwari",80829.9243265715
2022,"17698898B43026433871983","AFG","Zhari",704945.358190586
2022,"17698898B36453114297847","AFG","Wor Mayi",118922.114230429
2022,"17698898B53460503432272","AFG","Sia Gird ( Ghorbund)",168515.833462228
2022,"17698898B19619181561833","AFG","Khakrez",120017.133056533
2022,"17698898B13684385115275","AFG","Nawa",374890.448973866
2022,"17698898B76183581414632","AFG","Surkhi Parsa",16493.027707668
2022,"17698898B73770643817409","AFG","Ab Kamari",124624.537965562
2022,"17698898B71956168117358","AFG","Shekh  Ali",39032.832711733
2022,"17698898B95721518303168","AFG","Gelan",389096.243475131
2022,"17698898B64553162233341","AFG","Muqur",143728.596393899
2022,"17698898B94329436911274","AFG","Kaldar",3175060.43414044
2022,"17698898B49767340950773","AFG","Muqur",559535.122367639
2022,"17698898B77647475536898","AFG","Dawlatabad",6957014.95593578
2022,"17698898B11614254206376","AFG","Qala-I- Naw",1582504.61871087
2022,"17698898B28778258305736","AFG","Dihrawud",590425.069312278
2022,"17698898B68993560499599","AFG","Ab Band",133855.98670293
2022,"17698898B92770889491620","AFG","Nahri Shahi",19213777.1497462
2022,"17698898B34806360196917","AFG","Giro",415610.890848434
2022,"17698898B7154367860778","AFG","Shahidi Hassas",111166.15956301
2022,"17698898B70189679586713","AFG","Mazari Sharif",8828545.86169775
2022,"17698898B15836335276490","AFG","Andar",1564853.975345
2022,"17698898B6361113189303","AFG","Nesh",66343.2230347805
2022,"17698898B92627850730576","AFG","Koh Band",59332.24737198
2022,"17698898B43522428587975","AFG","Dih Yak",551992.979620232
2022,"17698898B6337453827047","AFG","Qadis",240375.356024886
2022,"17698898B41631519248900","AFG","Nijrab",1587410.76697332
2022,"17698898B21749307466841","AFG","Zana Khan",180161.200126297
2022,"17698898B88855258477888","AFG","Marmul",1092318.31917776
2022,"17698898B19883224301342","AFG","Tulak",10740.0000800192
2022,"17698898B85275633227328","AFG","Chahar Kint",8569.92493636836
2022,"17698898B66989319468531","AFG","Ghazni",7233681.57442599
2022,"17698898B17817856005515","AFG","Saghar",43310.0000403356
2022,"17698898B55574996468051","AFG","Sholgara",2656755.59055411
2022,"17698898B91768416079756","AFG","Khwaja Umari",161911.037388769
2022,"17698898B12921472973415","AFG","Dihdadi",6250610.60911999
2022,"17698898B58745317907141","AFG","Rashidan",38394.2583692767
2022,"17698898B6220132089386","AFG","Tirin Kot",1958100.74074754
2022,"17698898B77931863880594","AFG","Balkh",10514506.5545008
2022,"17698898B33300576741298","AFG","Fayzabad",2930032.5201763
2022,"17698898B1377495574710","AFG","Wali Muhammadi Shahid",41533.2387198062
2022,"17698898B81421616745366","AFG","Chahar Bolak",6267383.20465295
2022,"17698898B33311091031062","AFG","Mangajek",1925592.34995731
2022,"17698898B94947419719141","AFG","Waghaz",200231.780671965
2022,"17698898B16843161206497","AFG","Khwaja Du Koh",1078630.77047208
2022,"17698898B2431624392014","AFG","Chimtal",3774218.97799715
2022,"17698898B48639262347956","AFG","Bahrami Shahid (Jaghatu)",15075.7205371457
2022,"17698898B53467877879512","AFG","Shibirghan",7016949.66629
2022,"17698898B65056922872965","AFG","Kishindih",259486.135516884
2022,"17698898B40546749525056","AFG","Qarabagh",2779126.57264654
2022,"17698898B37192900102961","AFG","Zari",171690.167555408
2022,"17698898B63288108708260","AFG","Qush Tepa",116110.198756435
2022,"17698898B16169279194462","AFG","Kamdesh",75692.8751339642
2022,"17698898B18601855151181","AFG","Darzab",41704.8388476949
2022,"17698898B97300978442775","AFG","Hazrati Sultan",258331.147194577
2022,"17698898B53177499733328","AFG","Waygal",135877.87900709
2022,"17698898B3221081044108","AFG","Khaniqa",1560885.94057066
2022,"17698898B9034512008121","AFG","Aybak",3947235.04076748
2022,"17698898B43074061200029","AFG","Wama",44417.7501505473
2022,"17698898B87621417384436","AFG","Sari Pul",3886853.38934828
2022,"17698898B6996072822964","AFG","Ruyi Du Ab",54117.1189007817
2022,"17698898B83091698293220","AFG","Sayyad",243564.932636358
2022,"17698898B7537232997430","AFG","Nurgaram",505053.513684331
2022,"17698898B56476132623567","AFG","Khuram Wa Sarbagh",286996.29559001
2022,"17698898B60638950590338","AFG","Kohistanat",277734.734737814
2022,"17698898B28188212808936","AFG","Alingar",3148056.23208475
2022,"17698898B61408580089249","AFG","Feroz Nakhchir",169542.02295134
2022,"17698898B92687367018667","AFG","Qarghayi",4499797.77356247
2022,"17698898B58243827416032","AFG","Khani Chahar Bagh",1536793.5965039
2022,"17698898B17027001788279","AFG","Dara-I-Sufi Payin",205818.137314691
2022,"17698898B85427598305070","AFG","Mihtarlam",5884800.26337498
2022,"17698898B72434564939727","AFG","Andkhoy",4433419.78265346
2022,"17698898B79609876731743","AFG","Dara-I-Sufi Bala",63012.3945135658
2022,"17698898B36636403911710","AFG","Qurghan",916742.713376701
2022,"17698898B10243065088514","AFG","Mardyan",1615492.49937492
2022,"17698898B29599265384553","AFG","Qaramqol",1574226.45401294
2022,"17698898B90987170586720","AFG","Wakhan",565873.132711895
2022,"17698898B46917889525806","AFG","Aqcha",5180676.29571459
2022,"17698898B78823885330812","AFG","Dawlatabad",346194.569494
2022,"17698898B73489110800958","AFG","Balkhab",48547.8008694265
2022,"17698898B36085950129723","AFG","Shirin Tagab",981203.142228385
2022,"17698898B72396469505647","AFG","Ishkashiem",214899.547118317
2022,"17698898B49472031583936","AFG","Gosfandi",140918.56753584
2022,"17698898B86175881575923","AFG","Khwaja Sabz Posh",328431.202401225
2022,"17698898B35985361203914","AFG","Sangcharak",427658.589897988
2022,"17698898B62547569841807","AFG","Maymana",2914276.6058812
2022,"17698898B95650823120892","AFG","Shighnan",737971.219795042
2022,"17698898B50201186809314","AFG","Sozma Qala",292239.522951378
2022,"17698898B99148698827275","AFG","Bilchiragh",363289.241151626
2022,"17698898B38280205315717","AFG","Kahmard",71194.1274499493
2022,"17698898B25739808204727","AFG","Darwazbala",43819.2115670646
2022,"17698898B60484555786592","AFG","Bamyan",205227.42435831
2022,"17698898B54717162176823","AFG","Pashtun Kot",267364.264261192
2022,"17698898B15834343688253","AFG","Almar",353914.773879523
2022,"17698898B65207327485001","AFG","Sayghan",68174.3967352435
2022,"17698898B757957454065","AFG","Darwaz",113995.310010687
2022,"17698898B12348234721190","AFG","Qaysar",217009.072641204
2022,"17698898B92886105415602","AFG","Shibar",45057.5885010239
2022,"17698898B19581778816483","AFG","Shaki",114523.905267325
2022,"17698898B36180835815829","AFG","Gurziwan",543674.02329145
2022,"17698898B2066778831749","AFG","Yakawlang",91634.4181410201
2022,"17698898B52906026797315","AFG","Kuf Ab",11253.9645898581
2022,"17698898B67216790829009","AFG","Kohistan",19721.9630118683
2022,"17698898B8527713612096","AFG","Panjab",3691.99988309294
2022,"17698898B77867409932082","AFG","Gizab",68115.0035524741
2022,"17698898B28919940592911","AFG","Khwahan",112969.053569868
2022,"17698898B71478968309259","AFG","Nili",15205.7956847632
2022,"17698898B34980340314796","AFG","Waras",6455.00012624543
2022,"17698898B15363372694269","AFG","Raghistan",8199.73945880868
2022,"17698898B83390857552519","AFG","Ishtarlay",4092.15499819396
2022,"17698898B99775155489299","AFG","Miramor",1381.15269074868
2022,"17698898B86995719870790","AFG","Sangi Takht",2656.99994061142
2022,"17698898B15040398145446","AFG","Shahristan",33025.0011687633
2022,"17698898B44605407424991","AFG","Argo",1145517.05778522
2022,"17698898B32541112128206","AFG","Lal Wa Sarjangal",95913.4050022736
2022,"17698898B97748995377228","AFG","Qarabagh",542035.847365713
2022,"17698898B6830111316734","AFG","Yaftal Sufla",254273.828784552
